ID beacon'a;Moc rozgÅ‚aszania;RSSI;Dystans;Czas;ID urzÄ…dzenia;Poziom baterii;;;;;Dystans;Przed odsianiem;Po odsianiu;Dystans;Odrzuconych;Wszystkich;Odrzuconych [%];Œr. RSSI;Œr. RSSI po odsianiu
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:49;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:04;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:04;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:05;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:20;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:21;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:36;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:56:51;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:52;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:52;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:08;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:09;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:23;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:24;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:25;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-58;0,3;03-12-2015 14:57:40;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-58;;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:56;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:58:13;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:58:44;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:58:44;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:00;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:00;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:01;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:16;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:59:16;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:47;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:48;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:48;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:04;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:05;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:21;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:21;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 15:00:36;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:52;GT-I9515 - 1a88bbcf523c933c;34;;;;;0,3;-59;-59;;;;;;
