sep=,
"ID beacon'a","Moc rozgłaszania","RSSI","Dystans","Czas","ID urządzenia","Poziom baterii"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:49:07","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:49:08","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:49:08","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:49:09","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:09","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:10","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:10","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:11","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:12","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:12","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:13","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:49:14","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:49:14","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:49:16","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-75","0.3","03-12-2015 14:49:17","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:49:18","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:49:19","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-67","0.3","03-12-2015 14:49:20","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:49:21","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-67","0.3","03-12-2015 14:49:21","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:49:22","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:49:22","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:49:25","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:26","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:27","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:29","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:29","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:49:30","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:49:31","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:49:32","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:49:33","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:49:33","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:49:33","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:49:35","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:49:35","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-67","0.3","03-12-2015 14:49:37","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:49:37","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:49:37","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:49:39","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:49:40","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-59","0.3","03-12-2015 14:49:41","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:42","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:42","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:43","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:44","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:44","GT-I9515 - 1a88bbcf523c933c","38"
