ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;Dystans;RSSI
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:33;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:34;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:34;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:34;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:35;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:50;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:51;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:05;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:07;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:22;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:23;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:38;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:38;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:39;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:54;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:54;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:55;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:57:10;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:57:10;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:57:11;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:57:42;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-54;0,3;03-12-2015 14:57:43;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-54
F4:1C:50:21:23:FD;0;-54;0,3;03-12-2015 14:57:43;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-54
F4:1C:50:21:23:FD;0;-54;0,3;03-12-2015 14:57:58;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-54
F4:1C:50:21:23:FD;0;-54;0,3;03-12-2015 14:57:58;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-54
F4:1C:50:21:23:FD;0;-54;0,3;03-12-2015 14:57:59;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-54
F4:1C:50:21:23:FD;0;-54;0,3;03-12-2015 14:58:14;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-54
F4:1C:50:21:23:FD;0;-54;0,3;03-12-2015 14:58:15;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-54
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:58:30;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:58:30;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:58:31;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:58:46;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:58:47;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:58:48;GT-I9515 - 1a88bbcf523c933c;34;;;;0,3;-55
