ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:24;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:25;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-58;0,3;03-12-2015 14:57:40;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-58
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:56;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:58:13;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:58:44;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:58:44;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:00;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:00;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:01;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:16;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:59:16;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:47;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:48;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:59:48;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:04;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:05;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:21;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:21;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 15:00:36;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:00:52;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:01:08;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 15:01:09;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 15:01:09;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:01:09;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:01:24;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 15:01:25;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 15:01:25;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:01:40;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:01:41;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:12;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:12;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:13;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:28;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:29;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:29;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:43;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:44;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:02:44;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:00;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:01;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:01;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:16;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:16;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:17;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:18;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 15:03:33;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 15:03:48;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:04:21;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:04:35;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:04:36;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:04:52;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:05:24;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:05:25;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:05:40;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:05:56;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:05:56;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:05:57;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-63;0,5;03-12-2015 15:06:11;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-63
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:06:29;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:06:45;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:06:45;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:07:00;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:07:00;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-65;0,5;03-12-2015 15:07:01;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-65
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:07:16;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:07:47;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:07:48;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-64;0,5;03-12-2015 15:07:49;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-64
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:08;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:24;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:25;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:26;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:39;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
