ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:49;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:49;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:49;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:03;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:04;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:04;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:20;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:20;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:36;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:36;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:52;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:52;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:55:52;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:08;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:09;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:09;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:24;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:25;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:25;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:25;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:40;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:40;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:55;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:56;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:56:56;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:57:11;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:57:13;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:57:13;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:57:29;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
